,avg.spectrum of stars w/exoplanets,avg.spectrum of stars w/o exoplanets,frequency
105,0.050422729840719695,0.04380932702562094,0.04861111111111111
106,0.04390624375113885,0.0430698621679283,0.049074074074074076
107,0.05046582922983708,0.0433224850453077,0.04953703703703704
108,0.047658979625762356,0.043141031269469575,0.05
109,0.04040519230286692,0.043138712346476725,0.050462962962962966
110,0.06369023286184758,0.044627827384888685,0.05092592592592593
111,0.047773767331186004,0.04446108155289791,0.051388888888888894
112,0.05403809485328471,0.04489888841344483,0.05185185185185186
113,0.050612065724118735,0.04046018920483348,0.052314814814814814
114,0.04489478097166945,0.03861594354811279,0.05277777777777778
115,0.04372072342617789,0.03605448871937145,0.05324074074074074
116,0.04197325345193034,0.03864130350219034,0.053703703703703705
117,0.03838164041272074,0.0397465256012419,0.05416666666666667
118,0.04744903908301811,0.035929248492448926,0.05462962962962963
119,0.04071688447498895,0.033932179788324156,0.055092592592592596
120,0.039469292948914894,0.03415914687206927,0.05555555555555556
121,0.054624465643589984,0.03787959222866315,0.05601851851851852
122,0.04740478413196979,0.0394574655695335,0.05648148148148149
123,0.04364676016522162,0.04080899308658611,0.05694444444444444
124,0.04402805596977439,0.03677808753975066,0.05740740740740741
125,0.04562608862116383,0.037704951591706524,0.05787037037037037
126,0.05033877837941988,0.03925849610106845,0.058333333333333334
127,0.04063858357397103,0.03747457188333087,0.0587962962962963
128,0.05141846160011411,0.0386224346328256,0.05925925925925926
129,0.05280176735275417,0.03891417116522837,0.059722222222222225
130,0.05681036657696115,0.0398453155594205,0.06018518518518519
131,0.04851532595184909,0.042574983164790275,0.06064814814814815
132,0.05543728280878053,0.03969868536980023,0.061111111111111116
133,0.04365676054993306,0.03758940060620314,0.06157407407407408
134,0.04129245784889129,0.03815400318393127,0.062037037037037036
135,0.044785957008129304,0.03920485023982848,0.0625
136,0.04908955575060598,0.04082092139913113,0.06296296296296297
137,0.04372426044178227,0.04390755489748846,0.06342592592592593
138,0.047774630734734536,0.043756495863805055,0.0638888888888889
139,0.046074849624873494,0.04215828372167346,0.06435185185185185
140,0.040959793817466714,0.03977725466824,0.06481481481481481
141,0.048393582661444126,0.04470470300661174,0.06527777777777778
142,0.051949291274034366,0.04165845738587509,0.06574074074074074
143,0.04787264627950511,0.04488967105909726,0.06620370370370371
144,0.05220250706284985,0.044443042433074745,0.06666666666666667
145,0.053659326572934124,0.0411524594190283,0.06712962962962964
146,0.04689829870310789,0.037960336647192644,0.06759259259259259
147,0.03913903410032492,0.038611219379809616,0.06805555555555556
148,0.04460949307780299,0.03566396594435418,0.06851851851851852
149,0.03705920487838533,0.03547304918843617,0.06898148148148149
150,0.04542556285500132,0.03770908808882221,0.06944444444444445
151,0.03983612362589708,0.036224845581662966,0.0699074074074074
152,0.039687452342052905,0.036574147369081184,0.07037037037037037
153,0.04673349529258139,0.03496397990660291,0.07083333333333333
154,0.03466772369724402,0.03459764846517261,0.0712962962962963
155,0.04239719634014956,0.035911802870949174,0.07175925925925926
156,0.04489938306286969,0.03839130040115126,0.07222222222222223
157,0.054502804879629656,0.03565946256699847,0.07268518518518519
158,0.044211255462544,0.033617238433773684,0.07314814814814816
159,0.04846792486963261,0.03500057063236917,0.07361111111111111
160,0.039778110710719856,0.036243231108533294,0.07407407407407407
161,0.041180552931552344,0.0372583317735603,0.07453703703703704
162,0.03679757909882284,0.034653401585637296,0.075
163,0.03653791865517987,0.03713470245621999,0.07546296296296297
164,0.04850169471915037,0.03751302157128958,0.07592592592592592
165,0.04748240340036116,0.034915538767779114,0.0763888888888889
166,0.050063276393999226,0.03895636538897344,0.07685185185185185
167,0.03916654611501531,0.0383067146961929,0.07731481481481482
168,0.045788739250107686,0.03924465837449223,0.07777777777777778
169,0.047124437679771446,0.03516128479234711,0.07824074074074075
170,0.044621094153642335,0.037681263119798386,0.0787037037037037
171,0.04049663160522031,0.03901812052318329,0.07916666666666666
172,0.03704330485716952,0.0397388790414014,0.07962962962962963
173,0.05064270121830485,0.04071069104085268,0.08009259259259259
174,0.047919730329776054,0.038795269993750686,0.08055555555555556
175,0.051584615498767465,0.03520674260295049,0.08101851851851852
